"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*05r3g*","Mason Black","KC","RP","1006","FA","26","ARI Wed 7:40PM","24.95","4%","0%"
"*05jpe*","Connor Phillips","CIN","RP","1007","FA","25","@LAD Wed 10:10PM","24.88","8%","0%"
"*05198*","Gavin Collyer","TEX","SP,RP","1010","FA","25","TEX 1<br/>@SEA 3","24.73","2%","0%"
"*04psu*","James Outman","DET","OF","1013","FA","29","MIN 2<br/>@DET 7","24.69","4%","0%"
"*04pmp*","Simeon Woods-Richardson","SEA","SP,RP","1015","FA","25","TEX 1<br/>@SEA 3","24.58","14%","0%"
"*05ocn*","Zach Brzykcy","MIA","RP","1018","FA","27","NYM Wed 6:40PM","24.36","1%","0%"
"*0516v*","Zak Kent","WSH","RP","1019","FA","28","WSH 2<br/>@SD 3","24.3","1%","0%"
"*0630h*","Mason Barnett","ATH","SP,RP","1021","FA","25","TOR 0<br/>@ATH 2 F","24.07","6%","0%"
"*05gwr*","Drew Romo","CHW","C","1025","FA","25","PIT Wed 7:40PM","23.96","5%","0%"
"*04prq*","Codi Heuer","BAL","RP","1026","FA","30","CLE Wed 6:35PM","23.93","0%","0%"
"*04pkq*","Anthony Seigler","BOS","2B,3B,INF","1028","FA","27","LAA Wed 6:45PM","23.85","8%","-1%"
"*05xoo*","Elmer Rodriguez","NYY","SP","1030","FA","23","COL Wed 7:05PM","23.77","42%","-4%"
"*0665x*","Matt Pushard","MIA","RP","1031","FA","28","NYM Wed 6:40PM","23.74","1%","0%"
"*051dm*","Joe La Sorsa","BOS","RP","1032","FA","28","LAA Wed 6:45PM","23.74","0%","0%"
"*05xze*","Jason Alexander","HOU","SP,RP","1034","FA","33","@PHI Wed 6:40PM","23.63","2%","0%"
"*0318i*","Justin Topa","NYY","RP","1035","FA","35","COL Wed 7:05PM","23.59","2%","0%"
"*05u38*","Peyton Pallette","CHW","SP,RP","1036","FA","25","PIT Wed 7:40PM","23.48","4%","0%"
"*06bpq*","Antwone Kelly","PIT","SP","1043","FA","23","@CHW Wed 7:40PM","23.06","7%","0%"
"*0519h*","Hunter Bigge","TB","RP","1049","FA","28","@ATL Wed 7:15PM","22.7","3%","0%"
"*05tdd*","Joe Rock","ATH","RP","1052","FA","26","TOR 0<br/>@ATH 2 F","22.56","3%","0%"
"*03pp7*","Tanner Rainey","DET","RP","1057","FA","33","MIN 2<br/>@DET 7","22.28","0%","0%"
"*066f4*","Duncan Davitt","ATL","SP","1059","FA","26","TB Wed 7:15PM","22.2","1%","0%"
"*041qm*","Shaun Anderson","LAA","RP","1060","FA","31","@BOS Wed 6:45PM","22.19","0%","0%"
"*04up8*","Lazaro Estrada","TOR","RP","1061","FA","27","TOR 0<br/>@ATH 2 F","22.14","2%","0%"
"*01s9k*","Starling Marte","KC","OF,UT","1063","FA","37","ARI Wed 7:40PM","22.1","4%","0%"
"*03qq9*","Justin Lawrence","WSH","RP","1066","FA","31","WSH 2<br/>@SD 3","22.06","2%","0%"
"*05lb8*","Zach McCambley","CIN","SP,RP","1067","FA","27","@LAD Wed 10:10PM","22.05","1%","0%"
"*05gs4*","Cole Henry","WSH","RP","1068","FA","27","WSH 2<br/>@SD 3","21.81","4%","0%"
"*05j93*","Jose Franco","CIN","SP,RP","1069","FA","25","@LAD Wed 10:10PM","21.81","4%","0%"
"*04ni4*","Leo Jimenez","MIA","1B,2B,3B,INF","1077","FA","25","NYM Wed 6:40PM","21.62","3%","0%"
"*05uws*","Chayce McDermott","NYM","RP","1082","FA","28","@MIA Wed 6:40PM","21.34","5%","0%"
"*031cd*","Mitch Garver","NYY","C","1083","FA","35","COL Wed 7:05PM","21.33","3%","0%"
"*06dqg*","Kade Morris","ATH","SP","1084","FA","24","TOR 0<br/>@ATH 2 F","21.17","4%","0%"
"*06in4*","Hyeseong Kim","LAD","2B,SS,INF,OF","1085","FA","27","CIN Wed 10:10PM","21.02","26%","0%"
"*05ybw*","Carson Palmquist","WSH","SP,RP","1086","FA","25","WSH 2<br/>@SD 3","21.01","2%","0%"
"*06434*","Jimmy Crooks","STL","C","1089","FA","25","STL 6<br/>@SF 1","20.77","9%","0%"
"*05xpp*","Chad Dallas","TOR","SP","1091","FA","26","TOR 0<br/>@ATH 2 F","20.72","2%","0%"
"*04ehs*","Cody Bolton","HOU","SP,RP","1092","FA","28","@PHI Wed 6:40PM","20.6","2%","0%"
"*04emt*","Jake Meyers","HOU","OF","1101","FA","30","@PHI Wed 6:40PM","20.1","12%","0%"
"*04pqd*","Drew Rom","ATH","SP,RP","1102","FA","26","TOR 0<br/>@ATH 2 F","20.07","2%","0%"
"*04efo*","Nick Raquet","BAL","RP","1105","FA","30","CLE Wed 6:35PM","19.89","0%","0%"
"*06ahu*","Sean Sullivan","COL","SP","1106","FA","24","@NYY Wed 7:05PM","19.84","5%","0%"
"*04prc*","Brandon Lockridge","MIL","OF","1111","FA","29","CHC Wed 7:40PM","19.47","5%","0%"
"*03aru*","Joel Payamps","ATL","RP","1115","FA","32","TB Wed 7:15PM","19.19","1%","0%"
"*05rcj*","Edwin Arroyo","CIN","2B,SS,INF","1123","FA","23","@LAD Wed 10:10PM","18.58","24%","-1%"
"*04eey*","MJ Melendez","NYM","OF","1126","FA","27","@MIA Wed 6:40PM","18.45","3%","0%"
"*01vja*","Max Kepler","ARI","OF","1127","FA","33","@KC Wed 7:40PM","18.41","4%","0%"
"*05192*","Kade Strowd","ARI","RP","1128","FA","28","@KC Wed 7:40PM","18.41","2%","0%"
"*04pmw*","Alek Thomas","LAD","OF","1130","FA","26","CIN Wed 10:10PM","18.11","11%","0%"
"*06i08*","Woo-Suk Go","MIN","RP","1131","FA","28","MIN 2<br/>@DET 7","18.1","2%","0%"
"*05xsf*","Jefry Yan","NYM","RP","1132","FA","30","@MIA Wed 6:40PM","18.06","2%","0%"
"*06ian*","John Klein","TOR","SP,RP","1133","FA","24","TOR 0<br/>@ATH 2 F","18.06","1%","0%"
"*05rau*","Kahlil Watson","CLE","SS,INF,OF","1134","FA","23","@BAL Wed 6:35PM","17.95","19%","0%"
"*05taw*","Doug Nikhazy","CHC","SP,RP","1135","FA","27","@MIL Wed 7:40PM","17.8","3%","0%"
"*061pi*","Yaramil Hiraldo","BAL","RP","1136","FA","30","CLE Wed 6:35PM","17.75","1%","0%"
"*0630e*","Colby Thomas","PHI","OF","1137","FA","25","HOU Wed 6:40PM","17.65","12%","0%"
"*052ij*","Domingo Gonzalez","SEA","SP,RP","1138","FA","26","TEX 1<br/>@SEA 3","17.54","1%","0%"
"*04y9i*","Tyler Callihan","PIT","OF","1140","FA","26","@CHW Wed 7:40PM","17.35","5%","0%"
"*05jq3*","Joey Wiemer","CHW","OF","1142","FA","27","PIT Wed 7:40PM","17.33","10%","0%"
"*06ex9*","Brandan Bidois","MIA","RP","1143","FA","25","NYM Wed 6:40PM","17.21","2%","0%"
"*051hq*","Taylor Rashi","ATH","RP","1144","FA","30","TOR 0<br/>@ATH 2 F","17.19","0%","0%"
"*04qri*","Braden Shewmake","HOU","2B,3B,SS,INF","1149","FA","28","@PHI Wed 6:40PM","17.05","3%","0%"
"*051i0*","Jayden Murray","CHC","RP","1152","FA","29","@MIL Wed 7:40PM","17.02","1%","0%"
"*06mc1*","Trey Gibson","BAL","SP","1153","FA","24","CLE Wed 6:35PM","16.98","20%","0%"
"*0614b*","Josh Simpson","SEA","RP","1154","FA","29","TEX 1<br/>@SEA 3","16.95","1%","0%"
"*04o78*","Matt Wallner","MIN","OF","1155","FA","28","MIN 2<br/>@DET 7","16.94","23%","0%"
"*05yfl*","Joey Loperfido","HOU","OF","1157","FA","27","@PHI Wed 6:40PM","16.89","8%","0%"
"*05xsv*","Hayden Juenger","ATH","RP","1158","FA","26","TOR 0<br/>@ATH 2 F","16.87","1%","0%"
"*04o2x*","Davis Schneider","TOR","2B,INF,OF","1159","FA","27","TOR 0<br/>@ATH 2 F","16.79","5%","0%"
"*06kv1*","Rolddy Munoz","ATL","RP","1160","FA","26","TB Wed 7:15PM","16.74","1%","0%"
"*05gx2*","Jeff Criswell","COL","SP","1163","FA","27","@NYY Wed 7:05PM","16.55","1%","0%"
"*061lj*","Winston Santos","TEX","SP","1164","FA","24","TEX 1<br/>@SEA 3","16.54","10%","0%"
"*02bq6*","Joe Ross","TEX","RP","1165","FA","33","TEX 1<br/>@SEA 3","16.46","1%","0%"
"*041ru*","Cole Irvin","LAD","SP","1169","FA","32","CIN Wed 10:10PM","16.35","1%","0%"
"*06gjo*","Jim Jarvis","ATL","SS,INF","1170","FA","25","TB Wed 7:15PM","16.3","6%","0%"
"*04eg2*","Charlie Barnes","LAD","SP,RP","1173","FA","30","CIN Wed 10:10PM","15.8","0%","0%"
"*04pq7*","Ryan Weiss","HOU","SP,RP","1174","FA","29","@PHI Wed 6:40PM","15.72","5%","0%"
"*05js7*","Nick Yorke","PIT","2B,3B,INF","1176","FA","24","@CHW Wed 7:40PM","15.59","12%","0%"
"*04q24*","Max Schuemann","NYY","2B,3B,SS,INF,OF","1178","FA","29","COL Wed 7:05PM","15.36","2%","0%"
"*03dew*","Brandon Leibrandt","CIN","SP","1179","FA","33","@LAD Wed 10:10PM","15.23","0%","0%"
"*04llv*","Lenyn Sosa","TOR","1B,2B,INF","1180","FA","26","TOR 0<br/>@ATH 2 F","15.21","19%","0%"
"*03zcx*","Will Benson","CIN","OF","1183","FA","28","@LAD Wed 10:10PM","15.07","5%","0%"
"*03pp5*","Blake Perkins","CLE","OF","1185","FA","29","@BAL Wed 6:35PM","14.79","2%","0%"
"*04nb5*","Hunter Barco","PIT","RP","1186","FA","25","@CHW Wed 7:40PM","14.76","21%","0%"
"*05y29*","Andrew Hoffmann","PHI","RP","1187","FA","26","HOU Wed 6:40PM","14.67","2%","0%"
"*05yc9*","Braxton Fulford","COL","C","1189","FA","27","@NYY Wed 7:05PM","14.55","2%","0%"
"*03qni*","Danny Young","ATL","RP","1192","FA","32","TB Wed 7:15PM","14.47","1%","0%"
"*04pmm*","Nick Sandlin","DET","RP","1193","FA","29","MIN 2<br/>@DET 7","14.42","1%","0%"
"*05jp5*","Christian Roa","HOU","RP","1195","FA","27","@PHI Wed 6:40PM","14.38","1%","0%"
"*04ave*","Leo Rivas","SEA","2B,3B,SS,INF","1197","FA","28","TEX 1<br/>@SEA 3","14.21","3%","0%"
"*052c7*","Valente Bellozo","COL","SP,RP","1198","FA","26","@NYY Wed 7:05PM","14.12","2%","0%"
"*02bv2*","Eric Haase","ATL","C","1199","FA","33","TB Wed 7:15PM","14.08","1%","0%"
"*06mil*","Hancel Rincon","STL","SP","1201","FA","24","STL 6<br/>@SF 1","14","1%","0%"
"*0429r*","Max Kranick","WSH","RP","1202","FA","29","WSH 2<br/>@SD 3","13.94","1%","0%"
"*0648f*","Zach Maxwell","CIN","RP","1205","FA","25","@LAD Wed 10:10PM","13.64","4%","0%"
"*031ce*","Thomas Pannone","MIL","SP","1206","FA","32","CHC Wed 7:40PM","13.49","0%","0%"
"*04yj5*","Rodolfo Duran","SD","C","1207","FA","28","WSH 2<br/>@SD 3","13.43","1%","0%"
"*04ent*","J.C. Escarra","NYY","C","1209","FA","31","COL Wed 7:05PM","13.3","2%","0%"
"*05jsc*","Sterlin Thompson","COL","OF","1210","FA","25","@NYY Wed 7:05PM","13.19","10%","0%"
"*05uce*","Brendan Beck","NYY","SP","1214","FA","27","COL Wed 7:05PM","12.78","4%","0%"
"*0516g*","Ryan Ward","LAD","1B,INF,OF","1215","FA","28","CIN Wed 10:10PM","12.78","8%","0%"
"*0641c*","Zach Dezenzo","HOU","OF","1218","FA","26","@PHI Wed 6:40PM","12.53","5%","0%"
"*061yt*","Alan Roden","MIN","OF","1220","FA","26","MIN 2<br/>@DET 7","12.41","7%","0%"
"*03dg7*","Austin Slater","TB","OF","1224","FA","33","@ATL Wed 7:15PM","12.13","1%","0%"
"*0630f*","Gabriel Rincones Jr.","PHI","OF","1227","FA","25","HOU Wed 6:40PM","12.03","8%","0%"
"*05ymh*","Luis Curvelo","TEX","RP","1228","FA","25","TEX 1<br/>@SEA 3","12.02","1%","0%"
"*041w8*","Ian Hamilton","ATL","RP","1229","FA","31","TB Wed 7:15PM","12.02","2%","0%"
"*04ggr*","Jarred Kelenic","NYY","OF","1230","FA","27","COL Wed 7:05PM","11.69","3%","0%"
"*04q0o*","Romy Gonzalez","BOS","1B,2B,INF","1231","FA","30","LAA Wed 6:45PM","11.61","9%","0%"
"*04aod*","Sebastian Rivero","LAA","C","1233","FA","27","@BOS Wed 6:45PM","11.51","1%","0%"
"*041vp*","Santiago Espinal","ARI","2B,3B,INF,OF","1237","FA","31","@KC Wed 7:40PM","11.36","2%","0%"
