"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*03ab0*","Luis Severino","ATH","SP","716","FA","32","TOR 0<br/>@ATH 2 F","40.85","38%","0%"
"*041ts*","Luke Raley","SEA","1B,INF,OF","737","FA","31","TEX 1<br/>@SEA 3","39.91","27%","0%"
"*051c3*","Andrew Nardi","MIA","RP","744","FA","28","NYM Wed 6:40PM","39.45","4%","0%"
"*04aea*","Hunter Greene","CIN","SP","746","FA","27","@LAD Wed 10:10PM","39.26","71%","0%"
"*06686*","Brian Fitzpatrick","MIL","RP","761","FA","26","CHC Wed 7:40PM","38.77","1%","0%"
"*051e5*","Matt Waldron","WSH","SP,RP","766","FA","29","WSH 2<br/>@SD 3","38.57","4%","0%"
"*03de9*","Rhys Hoskins","CLE","1B,INF","777","FA","33","@BAL Wed 6:35PM","37.88","14%","0%"
"*05rc3*","Masataka Yoshida","BOS","UT","779","FA","33","LAA Wed 6:45PM","37.79","16%","0%"
"*05jpa*","Beck Way","KC","RP","780","FA","27","ARI Wed 7:40PM","37.75","1%","0%"
"*0614c*","Jordan Leasure","CHW","RP","782","FA","28","PIT Wed 7:40PM","37.66","9%","0%"
"*03ql5*","Ryan Helsley","BAL","RP","784","FA","32","CLE Wed 6:35PM","37.51","67%","0%"
"*02c47*","Shawn Armstrong","CLE","RP","792","FA","35","@BAL Wed 6:35PM","37.16","8%","0%"
"*06rtp*","Mike Paredes","MIN","SP,RP","793","FA","26","MIN 2<br/>@DET 6","37.08","2%","0%"
"*05mre*","Spencer Strider","ATL","SP","801","FA","27","TB Wed 7:15PM","36.49","80%","0%"
"*06dqd*","Ben Williamson","TB","2B,3B,SS,INF,RP","802","FA","25","@ATL Wed 7:15PM","36.45","11%","0%"
"*051em*","Kerry Carpenter","DET","OF","826","FA","29","MIN 2<br/>@DET 6","35.18","54%","0%"
"*05g4k*","Mick Abel","MIN","SP","846","FA","25","MIN 2<br/>@DET 6","34","51%","0%"
"*04pqq*","Matt Vierling","DET","OF","850","FA","29","MIN 2<br/>@DET 6","33.86","8%","0%"
"*06am5*","Luinder Avila","KC","SP,RP","852","FA","25","ARI Wed 7:40PM","33.83","8%","0%"
"*05oyw*","Nick Davila","SEA","RP","854","FA","27","TEX 1<br/>@SEA 3","33.73","1%","0%"
"*02i3l*","Miguel Andujar","SD","3B,INF,OF","857","FA","31","WSH 2<br/>@SD 3","33.68","16%","0%"
"*02yk4*","Tyler O'Neill","BAL","OF","866","FA","31","CLE Wed 6:35PM","33.12","21%","0%"
"*041py*","Keegan Akin","BAL","SP,RP","869","FA","31","CLE Wed 6:35PM","32.96","4%","0%"
"*047l7*","Luis Robert Jr.","BAL","OF","873","FA","29","CLE Wed 6:35PM","32.45","68%","-4%"
"*02mwq*","Zach Eflin","BAL","SP","875","FA","32","CLE Wed 6:35PM","32.37","26%","0%"
"*041ma*","Cole Ragans","KC","SP","880","FA","28","ARI Wed 7:40PM","32.18","70%","0%"
"*025kd*","Jose Quintana","COL","SP","885","FA","37","@NYY Wed 7:05PM","31.93","10%","0%"
"*0310c*","Hunter Harvey","CHC","RP","897","FA","31","@MIL Wed 7:40PM","31.29","7%","0%"
"*03drx*","Connor Seabold","KC","RP","915","FA","30","ARI Wed 7:40PM","30.22","1%","0%"
"*0512u*","Jack Kochanowicz","LAA","SP","916","FA","25","@BOS Wed 6:45PM","30.21","13%","0%"
"*067xm*","George Klassen","LAA","SP","921","FA","24","@BOS Wed 6:45PM","29.81","41%","-2%"
"*04aq4*","Adolis Garcia","PHI","OF","923","FA","33","HOU Wed 6:40PM","29.7","38%","0%"
"*061mp*","Peter Strzelecki","STL","RP","925","FA","31","STL 6<br/>@SF 1","29.6","0%","0%"
"*03dp8*","Ramon Laureano","SD","OF","928","FA","32","WSH 2<br/>@SD 3","29.53","36%","0%"
"*06c36*","Brice Matthews","HOU","2B,INF,OF","930","FA","24","@PHI Wed 6:40PM","29.42","21%","0%"
"*05a06*","Nick Mears","KC","RP","932","FA","29","ARI Wed 7:40PM","29.21","3%","0%"
"*03di1*","Matt Gage","SF","RP","935","FA","33","STL 6<br/>@SF 1","29.07","3%","0%"
